English,French,Spanish
applicant,candidat,solicitante
"arrival, arrivals","arrivee, arrivees, arrivée, arrivées","llegada, llegadas"
asylum,asile,asilo
benefit,allocation sociale,beneficio
"border control, controls","controle frontiere, controles, contrôle frontière, contrôles","control de fronteras, controles"
business,entreprise,negocio
citizenship,"citoyennete, citoyenneté","ciudadania, ciudadanía"
compensation,compensation,"compensacion, compensación"
consulate,consulat,consulado
contract,contrat,contrato
customs,douane,aduana
deportation,expulsion,"deportacion, deportación"
diaspora,diaspora,"diaspora, diáspora"
discriminate,discriminer,discriminar
earning,revenu,ganancia
economy,"economie, économie","economia, economía"
embassy,ambassade,embajada
emigrant,"emigrant, émigrant",emigrante
emigrate,"emigrer, émigrer",emigrar
emigration,"emigration, émigration","emigracion, emigración"
employer,employeur,empleador
employment,emploi,empleo
foreigner,"etranger, étranger",extranjero
GDP,PIB,PIB
hiring,embauche,"contratacion, contratación"
illegal,"illegal, illégal",ilegal
immigrant,immigrant,inmigrante
immigrate,immigrer,inmigrar
immigration,immigration,"inmigracion, inmigración"
income,revenu,ingreso
inflation,inflation,"inflacion, inflación"
internship,stage,"pasantia, pasantía"
job,emploi,trabajo
labor,travail,mano de obra
layoff,licenciement,despido
legalization,"regularisation, régularisation","legalizacion, legalización"
migrant,migrant,migrante
migrate,migrer,migrar
migration,migration,"migracion, migración"
minimum,minimum,"minimo, mínimo"
nationality,"nationalite, nationalité",nacionalidad
"naturalization, naturalisation",naturalisation,"naturalizacion, naturalización"
passport,passeport,pasaporte
payroll,paie,"nomina, nómina"
pension,retraite,"pension, pensión"
quota,quota,cuota
recession,"recession, récession","recesion, recesión"
recruitment,recrutement,reclutamiento
refugee,"refugie, réfugié",refugiado
remuneration,"remuneration, rémunération","remuneracion, remuneración"
required documents,documents requis,documentos requisito
salary,salaire,sueldo
Schengen,Schengen,Schengen
smuggler,trafiquant,traficante
smuggling,trafic,contrabando
tax,tax,impuesto
tourist,touriste,turista
"unauthorized, unauthorised","non autorise, non autorisé",no autorizado
undocumented,sans papiers,indocumentado
unemployment,"chomage, chômage",desempleo
union,syndicat,sindicato
unskilled,"non qualifies, non qualifiés",no capacitado
vacancy,poste,vacante
visa,visa,visa
waiver,exemption,"exencion, exención"
wage,salaire,salario
welfare,aide sociale,asistencia social
